,crosstalk,distance,error,pix1,pix2
0,0.0010707247692861633,1.0,1.2315806445981178e-05,0,1
1,1.1977166277120235e-05,2.0,1.3188754798975837e-06,0,2
2,6.3799801412431245e-06,3.0,7.718450103848331e-07,0,3
3,7.970900953590583e-06,4.0,1.0788955354795055e-06,0,4
4,6.822685453007727e-06,5.0,9.061046453090364e-07,0,5
5,2.38768416485726e-06,6.0,5.861465885745443e-07,0,6
6,3.358827671915269e-06,7.0,2.74652974357376e-07,0,7
7,4.74240367557111e-06,8.0,6.560515519133036e-07,0,8
8,2.6147483946537054e-06,9.0,6.155760616537523e-07,0,9
9,2.6661938076667853e-06,10.0,5.779118556642591e-07,0,10
10,2.3827094528622576e-06,11.0,5.881640515524443e-07,0,11
11,,1.0,,0,12
12,,1.4142135623730951,,0,13
13,1.1674060286058958e-05,2.23606797749979,1.1173331507357039e-06,0,14
14,8.41730277763344e-06,3.1622776601683795,5.246104478494218e-07,0,15
15,6.810349145414227e-06,4.123105625617661,9.72159314354946e-07,0,16
16,3.7644956064390084e-06,5.0990195135927845,7.039229419905821e-07,0,17
17,4.306391378465391e-06,6.082762530298219,7.877444720728839e-07,0,18
18,3.0488378108580872e-06,7.0710678118654755,3.2589983862477523e-07,0,19
19,4.790083197707808e-06,8.06225774829855,7.774123308385492e-07,0,20
20,1.8299438226477924e-06,9.055385138137417,4.890343581517183e-07,0,21
21,4.478749701582899e-06,10.04987562112089,7.348234926993668e-07,0,22
22,2.7379744631826797e-06,11.045361017187261,3.997554806113676e-07,0,23
23,1.57987415189398e-05,2.0,1.2595272056260699e-06,0,24
24,1.7483035657494666e-05,2.23606797749979,1.5883010268387185e-06,0,25
25,5.301122958100973e-06,2.8284271247461903,7.856462407311631e-07,0,26
26,8.503047003003824e-06,3.605551275463989,1.0729720147482645e-06,0,27
27,8.244129847557627e-06,4.47213595499958,7.106133488999605e-07,0,28
28,3.6642347374352683e-06,5.385164807134504,2.5037303964592196e-07,0,29
29,5.664883689009034e-06,6.324555320336759,7.952974688431835e-07,0,30
30,2.547142066974585e-06,7.280109889280518,5.01047075056836e-07,0,31
31,2.5912975656236856e-06,8.246211251235321,6.125844233809158e-07,0,32
32,3.56066145970153e-06,9.219544457292887,5.381231116833263e-07,0,33
33,1.9043686808784268e-06,10.198039027185569,3.1929882165708106e-07,0,34
34,1.6267650927218623e-06,11.180339887498949,4.080659971018297e-07,0,35
35,8.364183054439282e-06,3.0,9.82778706103296e-07,0,36
36,9.932902792577175e-06,3.1622776601683795,1.2031178883481336e-06,0,37
37,8.260166104327808e-06,3.605551275463989,1.0735209283076863e-06,0,38
38,6.206549617992225e-06,4.242640687119285,5.631628410329593e-07,0,39
39,6.668816317844142e-06,5.0,9.014533705008572e-07,0,40
40,4.502548338856604e-06,5.830951894845301,7.292721039936131e-07,0,41
41,5.213148139787877e-06,6.708203932499369,7.579889209786102e-07,0,42
42,3.1583796376350526e-06,7.615773105863909,5.277408748962453e-07,0,43
43,3.3055768654180565e-06,8.54400374531753,6.511597822961602e-07,0,44
44,2.6382667430304165e-06,9.486832980505138,6.1031541405164e-07,0,45
45,2.2348292758796918e-06,10.44030650891055,5.682902157289623e-07,0,46
46,2.673078077285862e-06,11.40175425099138,6.229722815656877e-07,0,47
47,0.0010380005647609427,1.0,3.277558426878261e-05,1,2
48,1.1076429990467838e-05,2.0,1.520536458175975e-06,1,3
49,4.388903901062553e-06,3.0,2.1731738861504256e-06,1,4
50,8.064618233438314e-06,4.0,1.8363538799038968e-06,1,5
51,7.578119992005532e-06,5.0,2.710881357928743e-06,1,6
52,4.568833297467331e-06,6.0,3.4400421970687056e-07,1,7
53,3.3846645709352963e-06,7.0,8.146491560634533e-07,1,8
54,2.9971427763305832e-06,8.0,1.747195594531344e-06,1,9
55,6.846220738819281e-06,9.0,1.8210060684499382e-06,1,10
56,6.16499211183609e-06,10.0,2.5220567196563707e-06,1,11
57,,1.4142135623730951,,1,12
58,,1.0,,1,13
59,0.00016392501876997222,1.4142135623730951,6.911102128305234e-06,1,14
60,1.2549876361153821e-05,2.23606797749979,7.132998673022483e-07,1,15
61,7.88287280946473e-06,3.1622776601683795,2.4743400800432163e-06,1,16
62,6.0370902984684934e-06,4.123105625617661,1.8963415987637352e-06,1,17
63,8.227228644547506e-07,5.0990195135927845,8.975437183091071e-07,1,18
64,4.362177174729158e-06,6.082762530298219,4.3752965778099297e-07,1,19
65,2.133675712378348e-06,7.0710678118654755,1.031000444192409e-06,1,20
66,4.035057351318497e-06,8.06225774829855,1.5257934777542937e-06,1,21
67,1.400008396050343e-06,9.055385138137417,7.676036194899759e-07,1,22
68,1.7301893091339695e-06,10.04987562112089,3.927811585618548e-07,1,23
69,1.7327690891398805e-05,2.23606797749979,2.0708933590136085e-06,1,24
70,1.3701418765623611e-05,2.0,3.6797020564693998e-06,1,25
71,1.4818493122138917e-05,2.23606797749979,2.3558660002027086e-06,1,26
72,5.917569878727235e-06,2.8284271247461903,2.0081762788992354e-06,1,27
73,7.446552639214264e-06,3.605551275463989,8.458713342467914e-07,1,28
74,5.4310395919940934e-06,4.47213595499958,3.2152790559452646e-07,1,29
75,5.1384160912864376e-06,5.385164807134504,1.3005498758020058e-06,1,30
76,6.037770824894424e-06,6.324555320336759,1.1950728325748962e-06,1,31
77,6.008362008132292e-06,7.280109889280518,2.467449521217325e-06,1,32
78,2.1870890260316227e-06,8.246211251235321,5.856028213723668e-07,1,33
79,3.4007914505389237e-06,9.219544457292887,5.162428512841099e-07,1,34
80,3.506190748963282e-06,10.198039027185569,9.54202911953901e-07,1,35
81,6.7041068325256256e-06,3.1622776601683795,1.5637968301869716e-06,1,36
82,1.1699960536214286e-05,3.0,3.5210503803044707e-06,1,37
83,6.604507237990148e-06,3.1622776601683795,2.2994708467674085e-06,1,38
84,6.672669589497238e-06,3.605551275463989,6.991415239158565e-07,1,39
85,3.738650406381115e-06,4.242640687119285,1.2782514069553473e-06,1,40
86,5.056530222340078e-06,5.0,1.4088491981231627e-06,1,41
87,3.9005128324770965e-06,5.830951894845301,1.111881868546288e-06,1,42
88,3.9521376224423385e-06,6.708203932499369,8.537780417491914e-07,1,43
89,3.5256123789536723e-06,7.615773105863909,1.3703234845243952e-06,1,44
90,3.838005004320345e-06,8.54400374531753,1.8155159931276999e-06,1,45
91,3.885755482113219e-06,9.486832980505138,1.969764935265623e-06,1,46
92,2.0379272506365643e-06,10.44030650891055,1.4500445881345252e-06,1,47
93,0.0009140023405859386,1.0,1.4087274936394683e-05,2,3
94,1.3855576137663353e-05,2.0,4.302827412262478e-06,2,4
95,7.5872952805851e-06,3.0,1.8526458815185245e-06,2,5
96,8.454190266715226e-06,4.0,3.1532851631613797e-06,2,6
97,5.295397652819393e-06,5.0,3.712194026883642e-07,2,7
98,4.058001319133496e-06,6.0,9.082664338017649e-07,2,8
99,5.339145785825419e-06,7.0,2.58201653341113e-06,2,9
100,1.779933899875831e-06,8.0,9.720856328312378e-07,2,10
101,2.915484793125181e-06,9.0,1.9231615583541286e-06,2,11
102,,2.23606797749979,,2,12
103,,1.4142135623730951,,2,13
104,0.0010584228526491933,1.0,1.8051277969873438e-05,2,14
105,0.0001599446558617889,1.4142135623730951,2.5560428052074023e-06,2,15
106,1.9639409214244013e-05,2.23606797749979,4.212788044173954e-06,2,16
107,6.701654131414648e-06,3.1622776601683795,2.115236239419375e-06,2,17
108,6.19497645474767e-06,4.123105625617661,2.7151683212939065e-06,2,18
109,5.510057521526655e-06,5.0990195135927845,4.937025327033968e-07,2,19
110,5.176752767689664e-06,6.082762530298219,1.683595792846883e-06,2,20
111,5.7600471814510415e-06,7.0710678118654755,1.9263124086080326e-06,2,21
112,1.7308947582020236e-06,8.06225774829855,8.879885487237157e-07,2,22
113,2.4562739597911323e-06,9.055385138137417,4.7181804999652417e-07,2,23
114,6.95521913930305e-06,2.8284271247461903,1.3424238286676516e-06,2,24
115,1.3505337419692095e-05,2.23606797749979,4.031458520754336e-06,2,25
116,1.5378784556616753e-05,2.0,2.4856977582969053e-06,2,26
117,1.8200709544099503e-05,2.23606797749979,3.7614448135856512e-06,2,27
118,1.0222373761229237e-05,2.8284271247461903,9.997966992995385e-07,2,28
119,6.184802219267685e-06,3.605551275463989,3.437078683333399e-07,2,29
120,5.8187994097446e-06,4.47213595499958,1.4271324477121179e-06,2,30
121,7.045796219287889e-06,5.385164807134504,1.3195333079672829e-06,2,31
122,4.0535659953815824e-06,6.324555320336759,2.242701027321691e-06,2,32
123,3.823461270334653e-06,7.280109889280518,7.85504408800358e-07,2,33
124,2.9696679470547717e-06,8.246211251235321,4.858689023157381e-07,2,34
125,1.4115239618892907e-06,9.219544457292887,6.201798816877313e-07,2,35
126,7.869819350680758e-06,3.605551275463989,1.7531534051645167e-06,2,36
127,5.694377497444492e-06,3.1622776601683795,2.732282302299388e-06,2,37
128,1.1048650683364467e-05,3.0,3.216221721052014e-06,2,38
129,6.36803964930814e-06,3.1622776601683795,6.875679558142455e-07,2,39
130,6.622924942831019e-06,3.605551275463989,1.7728560589389382e-06,2,40
131,3.5894899101044126e-06,4.242640687119285,1.231552105246152e-06,2,41
132,4.174734491902609e-06,5.0,1.184779161693964e-06,2,42
133,3.3182147136517336e-06,5.830951894845301,7.957044886646595e-07,2,43
134,2.76138202565915e-06,6.708203932499369,1.2757765850317887e-06,2,44
135,4.017993990845547e-06,7.615773105863909,2.021277021425948e-06,2,45
136,2.730994905909677e-06,8.54400374531753,1.8243548142160985e-06,2,46
137,4.184064300597035e-06,9.486832980505138,2.303875483439427e-06,2,47
138,0.001010071042301717,1.0,1.487115610718127e-05,3,4
139,1.0503868058614147e-05,2.0,1.3193780502879292e-06,3,5
140,4.983769746189263e-06,3.0,1.0326286458069637e-06,3,6
141,6.783072465873589e-06,4.0,4.0067944017728833e-07,3,7
142,4.665124406462108e-06,5.0,7.304832500929261e-07,3,8
143,2.8617421657138794e-06,6.0,7.866601369846134e-07,3,9
144,3.085230514521525e-06,7.0,7.35246895363252e-07,3,10
145,3.1383458856858273e-06,8.0,8.249237886011145e-07,3,11
146,,3.1622776601683795,,3,12
147,,2.23606797749979,,3,13
148,0.00014299583865411266,1.4142135623730951,4.49596823941052e-06,3,14
149,0.00108150651297167,1.0,6.184280069515079e-06,3,15
150,0.00015446565488516897,1.4142135623730951,5.597808952787938e-06,3,16
151,1.2770851638312619e-05,2.23606797749979,1.5491710874819632e-06,3,17
152,8.036812868628383e-06,3.1622776601683795,1.3127120664422858e-06,3,18
153,5.671399514857816e-06,4.123105625617661,4.632331289631734e-07,3,19
154,4.9026392314707275e-06,5.0990195135927845,9.315263676355568e-07,3,20
155,5.9376746754218695e-06,6.082762530298219,1.050958273281202e-06,3,21
156,2.438147817614087e-06,7.0710678118654755,6.364731671878104e-07,3,22
157,1.1648078465736083e-06,8.06225774829855,2.7999815543555757e-07,3,23
158,1.0018302096168024e-05,3.605551275463989,1.1419081269336027e-06,3,24
159,8.30610600512684e-06,2.8284271247461903,1.3358642929739903e-06,3,25
160,1.2527016904411993e-05,2.23606797749979,1.4087122099293308e-06,3,26
161,1.6631542385877687e-05,2.0,1.8040959739838302e-06,3,27
162,1.29319070956562e-05,2.23606797749979,9.593848550515325e-07,3,28
163,7.928591548202576e-06,2.8284271247461903,3.756803184919002e-07,3,29
164,6.596393000082822e-06,3.605551275463989,9.936851030591e-07,3,30
165,9.073158476946456e-06,4.47213595499958,1.07371446288595e-06,3,31
166,5.861930455988411e-06,5.385164807134504,1.1252654426827186e-06,3,32
167,5.0347590235730345e-06,6.324555320336759,7.088440241886455e-07,3,33
168,3.5275726848568436e-06,7.280109889280518,4.637387239864779e-07,3,34
169,3.0134782848452326e-06,8.246211251235321,6.341523084966773e-07,3,35
170,7.474046913790117e-06,4.242640687119285,1.082007413451383e-06,3,36
171,6.31436208606603e-06,3.605551275463989,1.1733646189949556e-06,3,37
172,4.322207967322824e-06,3.1622776601683795,9.399925113665472e-07,3,38
173,5.140702369661286e-06,3.0,5.452131717140718e-07,3,39
174,7.983844937441671e-06,3.1622776601683795,1.1602524540291981e-06,3,40
175,5.235375580042086e-06,3.605551275463989,9.196514906352024e-07,3,41
176,4.830478720908243e-06,4.242640687119285,8.429780310236055e-07,3,42
177,7.684828254666994e-06,5.0,9.20764870655815e-07,3,43
178,5.646815840132871e-06,5.830951894845301,1.0114100035168442e-06,3,44
179,3.0695470705375905e-06,6.708203932499369,7.990968969694676e-07,3,45
180,2.5535190852290583e-06,7.615773105863909,7.41513154146631e-07,3,46
181,3.788848248891405e-06,8.54400374531753,9.063940166370656e-07,3,47
182,0.0009873819508303648,1.0,2.1328656885702425e-05,4,5
183,1.756313448500124e-05,2.0,4.649891915598363e-06,4,6
184,7.033689210885386e-06,3.0,4.280434427717194e-07,4,7
185,7.116731533288034e-06,4.0,1.2074786759098878e-06,4,8
186,5.696268269754492e-06,5.0,2.7324833441244827e-06,4,9
187,3.5803711543944012e-06,6.0,1.3927896803351026e-06,4,10
188,4.876869686254727e-07,7.0,8.061983804152771e-07,4,11
189,,4.123105625617661,,4,12
190,,3.1622776601683795,,4,13
191,1.3509063081616938e-05,2.23606797749979,2.050278295882994e-06,4,14
192,0.00017566696595669792,1.4142135623730951,2.680824975985339e-06,4,15
193,0.0011090102061934413,1.0,3.223184940368166e-05,4,16
194,0.0001412816266671324,1.4142135623730951,9.838099759608738e-06,4,17
195,1.1568666608916241e-05,2.23606797749979,3.797101645095152e-06,4,18
196,6.884542881825034e-06,3.1622776601683795,5.523188887650284e-07,4,19
197,4.864772324490499e-06,4.123105625617661,1.6492970905526755e-06,4,20
198,6.695919895772297e-06,5.0990195135927845,2.102773252200242e-06,4,21
199,5.149563208246448e-06,6.082762530298219,1.5450553003700768e-06,4,22
200,3.267253414022814e-06,7.0710678118654755,5.450993975064869e-07,4,23
201,6.133028535001585e-06,4.47213595499958,1.2668254468419508e-06,4,24
202,2.8970266852725935e-06,3.605551275463989,1.911311711115205e-06,4,25
203,6.3795513254690905e-06,2.8284271247461903,1.6133029882263538e-06,4,26
204,1.8876468005733502e-05,2.23606797749979,3.888407383199683e-06,4,27
205,1.4941003836539994e-05,2.0,1.210971304542874e-06,4,28
206,1.3166088652145607e-05,2.23606797749979,5.016651055680029e-07,4,29
207,9.94907204422999e-06,2.8284271247461903,1.8786368165442987e-06,4,30
208,5.771901481016298e-06,3.605551275463989,1.1999414834388643e-06,4,31
209,5.648074595488855e-06,4.47213595499958,2.711905201640802e-06,4,32
210,4.820416492177907e-06,5.385164807134504,8.847007720526798e-07,4,33
211,4.3412850706927e-06,6.324555320336759,5.883429085925651e-07,4,34
212,3.78363027543025e-06,7.280109889280518,1.0206693129724157e-06,4,35
213,7.34259572637002e-06,5.0,1.70609782349946e-06,4,36
214,6.079853167350066e-06,4.242640687119285,2.896196258404776e-06,4,37
215,7.684980127641587e-06,3.605551275463989,2.7312763420599224e-06,4,38
216,6.403998588400302e-06,3.1622776601683795,6.904796113263808e-07,4,39
217,8.336171944725296e-06,3.0,2.0071402298720542e-06,4,40
218,8.087606498273101e-06,3.1622776601683795,1.8636178256168954e-06,4,41
219,6.7634732310577775e-06,3.605551275463989,1.5177366570010384e-06,4,42
220,6.3852116809990655e-06,4.242640687119285,1.1078108875699477e-06,4,43
221,2.3563380639058724e-06,5.0,1.1919040074474788e-06,4,44
222,2.170984906284929e-06,5.830951894845301,1.515278165673868e-06,4,45
223,4.014176954418622e-07,6.708203932499369,7.161875337359789e-07,4,46
224,4.485892281740263e-06,7.615773105863909,2.4450951614121106e-06,4,47
225,0.0010625753563622798,1.0,2.1625524656672698e-05,5,6
226,1.0208632690436044e-05,2.0,5.061316933888475e-07,5,7
227,6.911475959192373e-06,3.0,1.043822713328188e-06,5,8
228,2.989840359725446e-06,4.0,1.1591739527920622e-06,5,9
229,7.183820101298301e-06,5.0,1.47368325325321e-06,5,10
230,5.313410848920174e-06,6.0,1.5496830264065246e-06,5,11
231,,5.0990195135927845,,5,12
232,,4.123105625617661,,5,13
233,9.09605524576548e-06,3.1622776601683795,1.3947491272068503e-06,5,14
234,1.4637773643649644e-05,2.23606797749979,7.51643483734901e-07,5,15
235,0.000168012661287077,1.4142135623730951,8.148401037314479e-06,5,16
236,0.001112756977713589,1.0,1.9525138526096095e-05,5,17
237,0.00016267561738794284,1.4142135623730951,8.476226005930655e-06,5,18
238,1.4925875396157837e-05,2.23606797749979,7.88119442657484e-07,5,19
239,5.301581881469282e-06,3.1622776601683795,1.2770910319329274e-06,5,20
240,7.2175822876805266e-06,4.123105625617661,1.5571867592076595e-06,5,21
241,5.306387201787032e-06,5.0990195135927845,1.210833336837868e-06,5,22
242,4.305684247326474e-06,6.082762530298219,5.878889517378467e-07,5,23
243,4.455262063343857e-06,5.385164807134504,9.18258645636902e-07,5,24
244,4.61397044889946e-06,4.47213595499958,1.430353144496705e-06,5,25
245,7.102144864684077e-06,3.605551275463989,1.3471780913639335e-06,5,26
246,8.361861447074158e-06,2.8284271247461903,1.756360627636028e-06,5,27
247,1.2726485200028399e-05,2.23606797749979,1.0451471747779544e-06,5,28
248,1.1744398175268107e-05,2.0,4.673203982398272e-07,5,29
249,1.6531148275813145e-05,2.23606797749979,1.965036251232319e-06,5,30
250,7.67798742718924e-06,2.8284271247461903,1.1846689593563284e-06,5,31
251,3.861185102576845e-06,3.605551275463989,1.3158033757516486e-06,5,32
252,6.607213102164884e-06,4.47213595499958,9.311200217637343e-07,5,33
253,5.99488628689592e-06,5.385164807134504,6.542837417995981e-07,5,34
254,5.515693750710241e-06,6.324555320336759,1.0405560793967626e-06,5,35
255,6.3255361863295555e-06,5.830951894845301,1.2599350097645455e-06,5,36
256,5.471113607067678e-06,5.0,1.5816543678602198e-06,5,37
257,2.9924813681361643e-06,4.242640687119285,1.0957445914179875e-06,5,38
258,7.2941378964330045e-06,3.605551275463989,6.998014160796805e-07,5,39
259,5.926053522742407e-06,3.1622776601683795,1.2954101477548618e-06,5,40
260,5.486246277459644e-06,3.0,1.2030096436380512e-06,5,41
261,7.687083330463499e-06,3.1622776601683795,1.3220177150522602e-06,5,42
262,5.881431209018727e-06,3.605551275463989,9.39375209431507e-07,5,43
263,4.261200552213648e-06,4.242640687119285,1.1685047037647502e-06,5,44
264,7.539792726532466e-06,5.0,1.769613205909484e-06,5,45
265,3.782569717933771e-06,5.830951894845301,1.2980916864146517e-06,5,46
266,7.936214220526394e-07,6.708203932499369,5.989100383244964e-07,5,47
267,0.0009338559959533065,1.0,4.927900126524923e-06,6,7
268,2.4214012941434083e-05,2.0,2.2044024744475086e-06,6,8
269,7.120994221825201e-06,3.0,2.8695647664969346e-06,6,9
270,8.175596219894494e-06,4.0,2.0488762808791646e-06,6,10
271,6.0831482567132415e-06,5.0,2.6717230916390798e-06,6,11
272,,6.082762530298219,,6,12
273,,5.0990195135927845,,6,13
274,6.6648482680123695e-06,4.123105625617661,1.417807118250857e-06,6,14
275,6.895289532433294e-06,3.1622776601683795,5.299806642578899e-07,6,15
276,1.4119031353197031e-05,2.23606797749979,3.4730444927982e-06,6,16
277,0.00016824717550568543,1.4142135623730951,1.0380078381310655e-05,6,17
278,0.0010240712925141304,1.0,3.3669793757766335e-05,6,18
279,0.00018316239551783607,1.4142135623730951,2.842698291387332e-06,6,19
280,1.6950536962541795e-05,2.23606797749979,2.9945529494674377e-06,6,20
281,1.0893695462161759e-05,3.1622776601683795,2.596200710302958e-06,6,21
282,2.779536301247229e-06,4.123105625617661,1.1092369747361785e-06,6,22
283,4.598233835275348e-06,5.0990195135927845,6.43691196080315e-07,6,23
284,4.802512539892835e-06,6.324555320336759,1.1063701771005356e-06,6,24
285,1.2399188292133553e-05,5.385164807134504,3.7222934670459215e-06,6,25
286,7.313986538269777e-06,4.47213595499958,1.6926044198281508e-06,6,26
287,5.298934353306962e-06,3.605551275463989,1.9809332138287007e-06,6,27
288,7.06456521570755e-06,2.8284271247461903,8.285611363174699e-07,6,28
289,1.3390275797891041e-05,2.23606797749979,5.054263508218287e-07,6,29
290,1.6061290676890548e-05,2.0,2.344953976998341e-06,6,30
291,1.3004922297124877e-05,2.23606797749979,1.778715864954369e-06,6,31
292,3.6185858467550186e-06,2.8284271247461903,2.039601374528732e-06,6,32
293,8.308706310165768e-06,3.605551275463989,1.1520174911953726e-06,6,33
294,7.184751661305556e-06,4.47213595499958,7.538260767807728e-07,6,34
295,5.6869618889008405e-06,5.385164807134504,1.2341396287092293e-06,6,35
296,3.629176788832641e-06,6.708203932499369,1.1759405537800471e-06,6,36
297,8.75378228195825e-06,5.830951894845301,3.254042163046651e-06,6,37
298,6.719003686295456e-06,5.0,2.436237139873756e-06,6,38
299,6.576121916264853e-06,4.242640687119285,6.970589882611329e-07,6,39
300,8.0422818967863e-06,3.605551275463989,1.9246341082450477e-06,6,40
301,8.197818257701044e-06,3.1622776601683795,1.8365310950149164e-06,6,41
302,9.10821028545079e-06,3.0,1.7314984845336058e-06,6,42
303,7.915682648908167e-06,3.1622776601683795,1.2215515748595868e-06,6,43
304,4.151323278920257e-06,3.605551275463989,1.5355804955181642e-06,6,44
305,3.6099553918208395e-06,4.242640687119285,1.8565028664319747e-06,6,45
306,4.655268011484742e-06,5.0,2.2941898124572685e-06,6,46
307,6.083118820845484e-06,5.830951894845301,2.6717119249263845e-06,6,47
308,0.0010795745896474522,1.0,5.039175286285662e-06,7,8
309,1.2851784441301988e-05,2.0,5.782060138587974e-07,7,9
310,7.1848185858211326e-06,3.0,4.263593949442446e-07,7,10
311,7.160294972409716e-06,4.0,4.3165440378788343e-07,7,11
312,,7.0710678118654755,,7,12
313,,6.082762530298219,,7,13
